text,sdg
importante destacar año sequia esperar disminuir aporte aumentar demanda agua cultivo vegetacion provocar reduccion caudal rio conectado hidrologicamente acuifero asi menor disponibilidad agua ecosistema dependiente agua subterraneo externalidad espacial poder incluir agotamiento curso agua descenso nivel freatico local ejemplo bombeo continuo pozo provocar agotamiento curso agua reduccion caudal,6
gran cantidad literatura australia area sugerir fuertemente comercio agua especialmente mercado corto plazo solo permitir mitigar sustancialmente impacto sequia agricultura sino ahora agricultor considerar medio util basico instrumento caja herramienta gestion riesgo desafio politico australia area regulacion agua agricultura area como ajustar sistema existente problema solidez relacionado cambio climatico bien ejemplo australiano ilustrar posible ganancia eficiencia surgar comercio agua especialmente gestionar escasez agua circunstancia sequia eleccion instrumento siempre deber considerar gama completo costo beneficio,6
proceso descentralizacion emprendido serie actividad realizar gobierno central llevar modificacion importante forma administrar operar sector agua unico excepcion tendencia azerbaiyan bielorrusia turkmenistar gestion sector agua permanecer fuertemente centralizado azerbaiyan ejemplo empresa nacional azersu jsc suministrar agua poblacion proporcionar pequeño operador privado propio hogar,6
poder tener consecuencia sustancial calidad agua especialmente rio mississippi norte golfo mexico torre ugarte requerir aporte nutrient plantacion madera infiltracion escorrentia nitrogeno poder representar riesgo agua subterraneo lattimore conclusion importante ubicacion produccion tipo produccion labranza sistema rotacion cultivo practica gestion agricola utilizado produccion materia primo produccion bioenergia influir gran medida calidad agua torre ugarte,6
funcion beneficio incorporar parametro afectar usuario precio insumo producto clima ejemplo año seco esperar beneficio aplicar cualquiera cantidad agua cultivo mayor año seco año humedo optimizacion optimo requerir valoracion explicito posible servicio ambiental asociado recurso agua subterraneo ahora futuro cambio sociedad decidir nivel servicio hidrologico deseable problema economico lograr nivel utilizar solucion maximizar beneficio usuario agua,6
descentralizacion implicar dar mayor protagonismo comites tecnico agua subterraneo cota gestion acuifero fortalecer organizacion funcionamiento consejo cuenca organo auxiliar consolidar funcion gobernanza organizacion regional conagua existir modelo unico mejorar gobernanza publico sector hidrico superar obstaculo institucional implementacion fundamental diagnosticar principal reto gobernanza experimentar ministerio organismo publico nivel gobierno actor subnacional revisar instrumento gobernanza existente ayudar definir claramente funcion responsabilidad autoridad publico establecer mecanismo resolucion conflicto,6
capitulo presentar principal resultado encuesta solicitar encuestado señalarar cualquiera reforma reciente curso regimen asignacion pais varios enfoque diferente asignacion agua ejemplo diferente regimen asignacion agua superficial subterraneo variacion asignacion provincia cuenca fluvial poder proporcionar varios ejemplo cada pais,6
menudo necesitar riego cubrir requisito agua cultivo arido sudoeste suponer entrega riego promedio agua hectarea costo equivalente usd california usd arizonar costo promedio nacional bombeo agua subterraneo segun informar fri casi usd hectarea gollehon quinby,6
plantacion ubicado zona costero debido condicion climatico pesticida llegar mar negro inmediato existir seguimiento sustancia dato disponible limitar sustancia peligroso contenido lixiviado afectar significativamente recurso agua subterraneo situacion actual contrario politica medioambiental sostenible basado principio precaucion especialmente respectar contaminacion agua subterraneo largo plazo,6
pais grande poder tener informacion general general dado monitoreo detallado punto critico agua subterraneo ejemplo unido ultimo pais abundancia precipitacion agua subterraneo recurso importante agricultura predominantemente secano dedicar recurso medicion cantidad agua subterraneo generar falta general informacion vear council canadiar academi general agua subterraneo representar importante recurso hidrico utilizable representar agua dulce liquida unesco reserva agua subterraneo estimar millon agua dulce,6
